"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"13" 473167.446711917 452492.653544458 183778.709889734 134805.000058711 252637.792704468 52415.3147999069 61775.2717264267 123001.694157871 217754.515515883 524502.626668461 990006.247312788 1555751.66954336 1135279.88555771 313843.29544627 89470.986432857 12495.5541231048 2329.06582835389 26835.2274504148 336334.484902383 1225418.85567509 2311700.48645953 1467878.41031535 1363557.82605222 11014020.9025911 13742326.8688097 3846065.29212359 129511.426854999 586451.841403474 293314.460554175 371708.460515575 225616.509585747 3341.77710088314 61577.0263811399 20871.4696500771 171554.538958699 112588.102911601 39523.1743279482 21359.3540089097 33130.123381207 116773.407356774 223569.363270262 448535.273417488 521254.983286887 184416.777483108 129892.667789025 395016.242441063 210081.611580157 9085.57856454851 55609.1662987635 90087.0371229638 33373.9093981856
"14" 95973.2955064592 111273.139370676 35819.9018861251 62247.6709021651 115659.275909808 66875.8514655055 3384.54482467345 14476.1821310833 34323.6555368889 116512.786433303 218895.52053206 426522.818030849 329449.708463762 58678.6873391504 15938.4194558212 31771.832543531 50705.835563727 192053.548729503 326911.999916878 523364.755602081 844719.561189283 184231.199226798 1322013.56337445 6778808.44087339 5564471.28211619 412827.019917483 713039.001995281 1406208.85695169 640494.517355099 263550.745460047 115957.543282104 48488.2328773232 170854.157820075 38487.7230486826 51492.932995427 49174.1500114049 35181.316301904 59087.8405283049 152778.760916536 172346.257194326 250810.290795574 382145.400401798 336254.266854603 105660.771968751 132115.217888461 220321.976548691 98630.6540044146 55864.2486964399 145436.313694934 278195.335772765 199002.163560095
"15" 5552.4410960947 25148.241906639 139943.835760132 334067.296068283 443834.106916604 378528.32499759 255826.894106978 113755.760076643 38337.2421152527 27237.0136357867 9780.65008788195 22261.9659184307 55837.8286468277 32774.9231763441 4613.71533852938 52997.8225146562 16732.6516180601 140042.884493666 372891.442847567 221253.910544544 203879.594367558 166439.847969083 83454.0710542018 920582.904248507 1291619.46133421 1035145.51384287 1140914.73337609 1096839.58970372 906334.101116452 527429.889846928 226630.62292915 177632.648169693 195048.810277195 84986.8868161712 44555.0255450411 46548.1915893443 25463.7287220974 46959.3092859969 115715.959242854 63001.9775059167 40853.2285550571 74609.7231169802 135554.449487366 171565.195982684 134866.364001605 44059.7580634516 6794.41879094957 52888.9870483794 179698.59786496 247088.84127405 148301.739780818
"16" 74433.4420879877 149924.779860325 333178.326224172 672307.698409956 842649.211568011 736572.88102159 575274.82684935 306272.160236903 164398.493733676 138670.958431596 118357.150716756 37188.4317355798 259111.081100244 409589.357389251 127944.844610343 21461.7711905151 57672.9541295439 17794.1812351122 387930.561797419 340754.767220222 122548.640161638 166013.401672442 19467.5346373422 775039.803348426 1738799.49165229 1582969.96425606 959374.031892751 686295.475144912 751565.108234063 598135.632325746 352221.032298781 215116.315696315 95175.3515756853 61555.8153168801 71842.4158784101 74925.1847001617 4103.36837211934 3230.53072824981 484.43483936468 1799.26526809499 9918.01267866028 74800.248563506 161811.855373457 136758.719594577 39049.4296246627 5780.23896919412 47565.1735013977 189050.810303488 422582.512430312 460226.892173009 267127.584393625
"17" 188326.392747729 360424.073631264 761128.860934868 1280981.66166789 1280384.80800929 744752.758168411 335729.879231162 262302.874297849 253639.553102733 262817.118504267 265548.974413286 149750.006443043 142883.906097431 316548.901591917 321451.254029778 88196.7505529895 109442.259463963 93056.2807705514 37646.5632641234 103637.136557839 5306.61355508499 28631.2248403816 111342.519001743 413778.482384868 573248.401655262 443953.128321934 312905.609153573 224223.378990022 204992.12652877 145891.313798319 190327.544214507 154856.853894228 10792.2183419252 56927.5679522271 11593.9578853091 52281.0212853779 15936.3743441952 125923.252704632 90604.4896318235 218.452537938615 151386.335866287 355323.138783903 219156.129100398 4494.0451000345 137482.635026588 239564.975305095 315779.736074113 421948.817241022 524124.505322192 590404.900875244 518941.233758643
"18" 441019.572273512 820697.281620954 1301977.03753378 1431314.99451227 1084277.18381808 471769.718022939 84557.0568069015 115156.932177705 391256.117822934 636555.371288076 589151.014391281 200227.926164763 81524.1870785535 199534.855825764 238781.01069797 75955.465248204 28778.461206805 143512.391857459 66242.1710660696 34645.9336945184 86028.200127369 171688.540369013 295696.606139306 301678.726359761 138604.502188942 13618.7174663466 25550.4935637531 28120.1099799806 24599.2088337191 22766.2478085109 143125.748133594 207337.366746399 1244.26053224895 50172.0798935341 9753.56941314938 106560.2879535 10418.3732988331 264493.325982452 352576.138339909 4049.6207749381 459226.912685149 726199.892067594 131124.272168793 459817.480815375 1130283.96317214 634823.754625433 156121.282438629 276403.719804705 980340.203172523 1650160.09831404 1762193.72948232
"19" 474947.864374709 724336.133466841 697103.028900065 550250.584344515 753615.85746757 704478.130106237 299206.640031399 274555.107820052 733751.164107949 1092825.43883883 1072180.09121084 583435.634362586 369310.211684116 268109.894358297 208950.905418885 189843.741158004 133187.034530402 87008.098778585 149681.308261305 174619.766995484 173808.528232657 183086.182719124 353702.621281266 417218.386094311 202108.758298673 18127.0182141794 12153.9021663906 12424.8923058213 9393.32629791699 14214.076139258 698.721146490411 33566.4211682524 7351.3527168134 115746.77963048 152549.815226615 210020.75585286 94546.1617907061 155085.035646864 516143.447808244 71132.9859075028 386085.851770284 975316.303352983 311120.779881258 1108131.93398812 2048790.08872807 866743.078981772 8398.43158982438 1123159.75784731 3663203.56348947 5024254.78947516 4372274.37855123
"20" 4098508.26131779 2319345.74550843 3273823.98831812 7801585.39225876 9650237.21336865 4697675.4281977 467214.008569736 1324302.88029344 2852076.37143393 3104493.89930303 2576844.80861059 1534931.9344137 647795.555709353 520912.343669001 216097.625442147 56256.2220617328 174158.421470167 28112.8750281606 76742.1683650958 66615.8747767296 103904.047762048 122754.335717426 293388.579982524 378117.945287798 196732.209348688 96347.7410301056 56078.6155887686 38192.6834255632 27073.271278822 54197.2744130442 52858.4702158832 28355.8478320605 105015.219159123 389669.24261933 587697.727102702 397900.011776853 200940.757896641 173806.187132457 370522.508602781 232864.759599109 11921.4398396448 340547.211564709 334604.803701531 429896.034569237 850915.67070989 576791.076682159 25499.1701933372 837884.117786501 3481975.808908 5134147.21576013 4476946.44449599
"21" 22675138.8063458 19509950.5746763 29065369.013078 51092688.4149218 56059622.9568703 27375526.9781163 2870393.83023177 3183046.42851896 7734848.12567164 7681576.16633397 4413797.49440554 924819.620973624 335052.104191616 3380951.91434209 3980960.52154068 1570806.81475269 442049.491488007 113580.603471988 360728.476721812 362869.30104084 66261.0600920292 9279.98681888555 106414.042322322 117368.009280912 176047.373223525 495234.201084945 478985.883534611 281106.986725807 135060.999692128 113845.106607992 68130.242286226 36458.8705489566 125145.861194537 383170.274940245 469696.279983908 239970.869906584 96666.6814480466 128763.877879527 142965.59432977 178159.058157835 142487.774549092 51054.1751486924 14522.9029212336 38266.0939748609 14237.6283276165 36084.480167486 15708.7882850754 166868.02425277 761421.849038955 1001971.42650785 1089955.31159128
"22" 30641121.637826 32289644.0893399 46591768.850957 77128281.2852604 90306454.399836 53312289.754143 11523933.5382613 7088259.80093151 12519756.4978663 10524617.7640826 4410380.79004385 714905.473197252 1843633.51982965 5482351.87509266 6596187.24771722 3650782.69794621 999038.653380468 86074.4560173559 239512.371770456 679358.418404732 641537.258718745 132138.231345454 20340.6303139433 33769.9787864827 68159.5321224111 474392.13636511 560064.825495217 415846.701347057 316933.06110152 306688.0449803 248483.948151208 220229.735313896 147569.464986086 122615.965357242 109019.350909616 38072.0718715478 84847.4536577119 135696.393874419 28407.1679026042 36277.4314249598 121756.835153673 237594.132226598 184725.101918172 40621.1731075354 55771.2701159457 30097.3233021235 18297.4748898805 74927.712394821 99589.0987244397 28247.455354807 54642.1735187707
